items,feedback,admirers,open_date.year,open_date.month,open_date.day-of-month,open_date.day-of-week,sales
419,146,495,2012,11,18,7,304
148,734,1155,2012,3,16,5,3608
198,160,234,2010,2,26,5,293
156,1182,1807,2007,2,21,3,1755
0,5,1,2013,2,26,2,0
21,1,34,2013,2,1,5,22
0,51,22,2011,3,30,3,55
53,97,153,2012,12,19,3,372
734,2290,10386,2012,6,20,3,8650
10,0,0,2013,6,8,6,1
2,15,23,2010,9,22,3,0
101,2085,21397,2009,2,26,4,4698
167,175,755,2010,8,9,1,249
133,1049,11516,2009,7,26,7,2278
85,711,2967,2009,5,4,1,1195
215,127,452,2009,6,14,7,162
294,3066,2610,2008,4,3,4,8882
100,457,698,2010,8,16,1,1303
108,1813,17929,2006,1,14,6,4076
1137,2611,1601,2011,10,10,1,7811
110,94,263,2007,12,12,3,255
34,70,272,2011,7,31,7,73
111,135,236,2012,1,26,4,170
624,2709,2369,2009,11,23,1,6964
73,307,371,2007,8,11,6,485
18,29,156,2011,9,24,6,101
127,184,356,2012,8,7,2,961
388,745,451,2011,1,25,2,1365
67,29,182,2012,11,7,3,164
699,231,519,2010,12,15,3,451
0,32,1,2012,5,22,2,0
206,599,9944,2009,6,3,3,1236
196,1000,1222,2007,1,9,2,1306
718,1056,1214,2008,12,6,6,1927
15,6,23,2012,10,31,3,7
93,653,1524,2009,12,6,7,649
0,13,0,2012,9,18,2,2
0,23,22,2009,8,6,4,0
161,74,182,2012,11,25,7,594
0,303,585,2006,9,21,4,204
23,0,1,2013,6,20,4,0
65,57,324,2013,1,24,4,442
107,557,879,2009,2,14,6,585
116,85,2034,2010,6,23,3,138
185,663,8215,2009,12,12,6,847
43,14,156,2010,1,9,6,14
274,626,3587,2010,12,10,5,1690
27,7,69,2011,3,20,7,2
15,35,37,2009,8,1,6,29
314,1062,2618,2009,4,9,4,1618
227,1045,4708,2009,7,26,7,3378
33,14,203,2011,7,20,3,11
21,54,52,2013,4,27,6,13
63,4,89,2013,3,19,2,9
279,13,248,2013,3,17,7,86
106,118,431,2009,8,2,7,158
150,1497,10101,2006,1,6,5,3695
19,732,5218,2007,6,14,4,873
68,79,1188,2012,10,19,5,111
46,192,879,2006,5,31,3,377
120,222,132,2012,6,23,6,401
74,43,374,2012,5,2,3,98
130,27,77,2011,8,5,5,27
14,267,40,2013,5,1,3,0
41,1,147,2013,4,2,2,6
63,8,118,2012,10,13,6,16
59,220,1335,2009,1,26,1,385
24,5,27,2007,3,7,3,10
35,36,46,2012,9,26,3,68
183,376,1036,2010,8,9,1,958
367,122,3141,2012,5,9,3,211
22,98,370,2011,11,20,7,322
238,179,7928,2008,7,16,3,690
21,5,15,2013,5,26,7,15
35,3,3,2013,4,30,2,4
187,170,208,2008,5,28,3,320
198,426,787,2011,3,22,2,1287
32,0,21,2009,9,18,5,2
59,253,4857,2009,2,1,7,490
102,653,1654,2010,10,29,5,1577
23,20,152,2008,12,3,3,14
63,23,2126,2012,3,5,1,110
304,71,2213,2010,12,1,3,688
7,11,1,2008,10,20,1,0
28,5,50,2010,12,12,7,24
16,0,15,2013,4,18,4,0
82,113,286,2008,2,7,4,196
0,57,0,2011,3,1,2,0
23,59,312,2008,2,13,3,83
103,253,2026,2008,6,26,4,247
7,70,307,2007,5,25,5,228
16,132,381,2009,4,21,2,245
68,6,76,2012,12,31,1,78
83,46,1212,2010,5,26,3,96
493,455,5819,2010,2,25,4,667
178,26,786,2012,7,9,1,40
0,118,801,2008,12,21,7,168
20,214,242,2009,12,22,2,166
1275,5726,17422,2007,4,28,6,14552
383,187,1248,2010,7,29,4,397
0,124,358,2012,5,21,1,786
28,156,283,2007,5,30,3,215
347,176,479,2012,5,31,4,557
98,145,668,2011,10,25,2,541
58,3,54,2012,10,2,2,3
96,66,652,2012,4,10,2,168
147,259,236,2010,6,22,2,974
35,25,527,2012,1,29,7,131
600,169,291,2011,8,29,1,495
74,11,389,2013,4,10,3,8
21,0,14,2013,6,18,2,0
55,816,3379,2008,8,24,7,970
41,85,457,2010,2,17,3,187
249,731,2810,2011,1,17,1,1721
12,0,19,2013,5,11,6,0
334,82,1480,2009,3,2,1,154
78,57,36,2012,8,29,3,19
517,483,1421,2008,12,31,3,711
48,9,47,2013,1,28,1,25
187,85,215,2011,3,31,4,284
103,545,299,2010,9,10,5,1172
108,1607,2944,2006,12,2,6,3361
243,375,813,2009,10,31,6,629
0,4,25,2011,7,13,3,0
1,19,2,2011,6,3,5,44
266,1424,10592,2008,9,12,5,3778
135,629,2277,2010,3,24,3,1102
66,884,1984,2008,7,17,4,1622
83,28,131,2011,12,26,1,66
109,109,509,2010,9,10,5,536
241,4668,9901,2009,6,10,3,9353
185,678,1124,2010,7,12,1,1572
308,506,894,2008,1,30,3,683
56,1293,1655,2009,6,28,7,2352
87,431,479,2010,3,3,3,847
246,573,5743,2007,3,3,6,813
52,103,314,2009,2,9,1,123
149,546,7520,2011,7,11,1,2244
188,1947,11220,2009,8,25,2,3187
245,660,2132,2008,11,5,3,903
175,122,1945,2007,11,24,6,168
160,246,2094,2009,9,23,3,477
19,0,188,2012,8,30,4,2
71,119,528,2011,3,27,7,101
423,77,112,2012,10,10,3,616
44,58,907,2009,3,12,4,159
556,448,1738,2011,11,29,2,690
461,4796,5289,2008,6,12,4,6804
80,323,812,2008,5,12,1,232
55,83,1031,2009,1,8,4,163
177,170,398,2010,8,11,3,546
482,2431,6768,2009,5,20,3,9473
179,412,482,2010,2,16,2,1403
0,19,58,2011,6,17,5,67
108,65,231,2012,10,26,5,53
396,1047,5615,2009,1,22,4,1725
145,576,1373,2011,2,20,7,567
65,366,299,2010,8,28,6,98
981,611,2772,2010,3,22,1,1648
81,25,98,2013,2,21,4,7
0,1052,1387,2009,2,12,4,1639
0,5095,19324,2009,3,19,4,17556
270,1129,2971,2010,1,30,6,2163
48,72,689,2012,7,13,5,180
351,253,1514,2012,6,13,3,789
30,1,11,2012,12,2,7,2
117,3069,8417,2008,1,13,7,5200
37,1333,4331,2008,5,28,3,2502
352,3829,3989,2010,12,14,2,6929
97,741,3109,2006,12,2,6,1069
82,0,12,2013,6,5,3,4
57,21,241,2013,2,5,2,158
658,6803,4102,2010,10,25,1,37188
458,864,4726,2009,9,24,4,1818
298,195,926,2012,8,5,7,531
74,12,364,2011,11,20,7,18
42,7,64,2013,4,11,4,4
0,1,0,2013,2,4,1,0
86,806,5219,2007,2,27,2,844
129,1,19,2013,5,17,5,2
119,115,212,2010,10,1,5,317
0,11,58,2008,9,16,2,31
499,369,640,2012,1,21,6,1391
84,31,642,2012,11,17,6,36
196,367,674,2008,6,2,1,744
340,23711,6760,2009,11,3,2,35675
928,1074,721,2009,7,15,3,1560
28,1,102,2013,4,20,6,4
290,1615,3845,2009,1,14,3,4089
583,497,1588,2010,7,17,6,1030
177,326,412,2011,10,13,4,629
20,1,17,2013,6,13,4,8
55,2,453,2013,1,13,7,10
64,3,67,2013,1,1,2,5
103,568,1053,2010,4,20,2,171
0,0,0,2013,6,17,1,0
113,193,288,2011,5,17,2,649
19,68,57,2012,1,30,1,15
1618,85048,13752,2007,9,12,3,135635
194,79,375,2012,11,29,4,406
350,1008,1498,2009,9,8,2,3022
0,369,412,2009,11,9,1,805
934,259,1119,2011,9,15,4,624
564,3586,4843,2008,4,14,1,7185
164,184,311,2012,2,1,3,567
172,44,476,2012,11,12,1,130
